namePlayer,yearDraft,numberPickOverall,gp,gs,fgmTotals,fgaTotals,pctFG,fg3mTotals,fg3aTotals,pctFG3,pctFT,fg2mTotals,fg2aTotals,pctFG2,minutesTotals,ftmTotals,ftaTotals,orebTotals,drebTotals,trebTotals,astTotals,stlTotals,blkTotals,tovTotals,pfTotals,ptsTotals,allStar,allNBA,Champion,WS
Kenyon Martin,2000,1,757,667,3875,8031,0.482505,66,282,0.234042553,0.629274,3809,7749,0.491547296,23137,1509,2398,1312,3847,5159,1439,893,864,1318,2498,9325,1,0,0,48
Stromile Swift,2000,2,547,97,1713,3623,0.472812,2,27,0.074074074,0.699393,1711,3596,0.475806452,10804,1154,1650,885,1650,2535,275,354,683,690,1357,4582,0,0,0,21.3
Darius Miles,2000,3,446,190,1874,3973,0.471683,22,131,0.167938931,0.5896,1852,3842,0.482040604,11730,737,1250,575,1615,2190,840,384,495,892,1023,4507,0,0,0,9.5
Marcus Fizer,2000,4,289,35,1103,2536,0.434936,21,110,0.190909091,0.691158,1082,2426,0.446001649,6037,555,803,375,965,1340,352,134,81,428,648,2782,0,0,0,2.7
Mike Miller,2000,5,1032,570,4016,8747,0.459128,1590,3910,0.406649616,0.768924,2426,4837,0.501550548,27813,1351,1757,632,3744,4376,2666,573,229,1561,2043,10973,0,0,2,60.7
DerMarr Johnson,2000,6,344,136,770,1872,0.411324,274,815,0.336196319,0.789203,496,1057,0.469252602,5930,307,389,192,577,769,304,198,149,349,598,2121,0,0,0,6.4
Chris Mihm,2000,7,436,256,1253,2731,0.458806,3,13,0.230769231,0.704396,1250,2718,0.459896983,8754,753,1069,865,1437,2302,223,128,444,535,1264,3262,0,0,0,13.3
Jamal Crawford,2000,8,1327,433,6752,16467,0.410032,2221,6379,0.348173695,0.861875,4531,10088,0.449147502,38994,3694,4286,466,2482,2948,4541,1179,271,2476,2008,19419,0,0,0,60.7
Joel Przybilla,2000,9,592,397,896,1624,0.551724,0,3,0,0.556666,896,1621,0.552745219,11736,501,900,1112,2553,3665,256,157,836,574,1604,2293,0,0,0,23
Keyon Dooling,2000,10,728,86,1810,4356,0.415518,446,1277,0.349256069,0.798882,1364,3079,0.443000974,14134,1001,1253,132,832,964,1601,463,75,803,1221,5067,0,0,0,18.5
Jerome Moiso,2000,11,145,3,158,323,0.489164,0,3,0,0.59322,158,320,0.49375,1392,70,118,126,269,395,38,45,68,104,183,386,0,0,0,2.1
Etan Thomas,2000,12,409,74,890,1734,0.513264,0,0,,0.603225,890,1734,0.513264129,7086,561,930,677,1250,1927,149,128,427,385,889,2341,0,0,0,14.9
Courtney Alexander,2000,13,187,59,655,1552,0.422036,41,121,0.338842975,0.812949,614,1431,0.42907058,3157,339,417,124,285,409,227,111,18,203,377,1690,0,0,0,4.1
Mateen Cleaves,2000,14,167,10,233,599,0.388981,12,45,0.266666667,0.727777,221,554,0.398916968,1863,131,180,33,142,175,310,67,5,201,213,609,0,0,0,-0.8
Kwame Brown,2001,1,607,281,1518,3088,0.49158,1,9,0.111111111,0.570285,1517,3079,0.492692433,13392,998,1750,1085,2248,3333,554,324,376,771,1385,4035,0,0,0,20.8
Tyson Chandler,2001,2,1160,886,3558,5964,0.596579,0,11,0,0.644318,3558,5953,0.597681841,31618,2393,3714,3529,6938,10467,967,630,1335,1656,3268,9509,1,1,1,102.1
Pau Gasol,2001,3,1226,1150,7980,15729,0.507343,179,486,0.368312757,0.753446,7801,15243,0.511775897,41002,4755,6311,3085,8220,11305,3925,606,1941,2638,2632,20894,6,4,2,144.1
Eddy Curry,2001,4,527,411,2578,4734,0.544571,2,2,1,0.642194,2576,4732,0.544378698,13112,1662,2588,947,1778,2725,287,155,384,1174,1562,6820,0,0,1,21.7
Jason Richardson,2001,5,857,842,5558,12681,0.438293,1608,4344,0.370165746,0.707442,3950,8337,0.473791532,29243,1920,2714,1033,3212,4245,2284,995,367,1503,1963,14644,0,0,0,59.1
Shane Battier,2001,6,977,705,2982,6819,0.437307,1250,3254,0.384142594,0.743462,1732,3565,0.485834502,30004,1194,1606,1273,2809,4082,1717,988,906,878,2208,8408,0,0,2,75.7
Eddie Griffin,2001,7,303,117,854,2263,0.377375,237,752,0.315159574,0.670623,617,1511,0.408338848,6729,226,337,497,1247,1744,236,105,518,227,506,2171,0,0,0,10.9
DeSagana Diop,2001,8,601,93,503,1177,0.427357,1,6,0.166666667,0.467191,502,1171,0.428693424,8406,178,381,834,1385,2219,270,227,630,355,1219,1185,0,0,0,12.8
Rodney White,2001,9,218,21,617,1455,0.424054,91,290,0.313793103,0.749128,526,1165,0.451502146,3354,215,287,113,372,485,237,118,65,285,309,1540,0,0,0,1.8
Joe Johnson,2001,10,1277,1091,7823,17720,0.441478,1978,5331,0.371037329,0.802479,5845,12389,0.471789491,44233,2783,3468,1067,3992,5059,5001,1071,260,2451,2252,20407,7,1,0,82.9
Kedrick Brown,2001,11,143,36,203,501,0.405189,46,168,0.273809524,0.640449,157,333,0.471471471,1937,57,89,98,249,347,103,85,28,64,170,509,0,0,0,3
Vladimir Radmanovic,2001,12,737,213,2148,5177,0.414912,971,2567,0.378262563,0.758364,1177,2610,0.450957854,16164,612,807,654,2130,2784,998,537,263,837,1552,5879,0,0,0,26.5
Richard Jefferson,2001,13,1181,809,5150,11102,0.46388,1042,2769,0.376309137,0.767837,4108,8333,0.492979719,34295,3562,4639,917,3803,4720,2412,787,347,1768,2637,14904,0,0,1,83
Troy Murphy,2001,14,729,482,2848,6400,0.445,613,1578,0.388466413,0.784522,2235,4822,0.463500622,19921,1551,1977,1373,4335,5708,1088,478,294,886,1890,7860,0,0,0,50.3
Yao Ming,2002,1,486,476,3380,6445,0.524437,2,10,0.2,0.832774,3378,6435,0.524941725,15818,2485,2984,1233,3261,4494,769,189,920,1311,1596,9247,8,5,0,65.9
Jay Williams,2002,2,75,54,273,685,0.39854,65,202,0.321782178,0.639751,208,483,0.430641822,1962,103,161,27,168,195,350,86,17,171,179,714,0,0,0,0.8
Mike Dunleavy,2002,3,986,585,3935,8926,0.440846,1304,3460,0.376878613,0.803257,2631,5466,0.481339188,27338,1874,2333,698,3513,4211,2185,719,324,1369,1986,11048,0,0,0,58.5
Drew Gooden,2002,4,790,500,3432,7435,0.4616,88,342,0.257309942,0.759714,3344,7093,0.471450726,20130,1701,2239,1878,3740,5618,896,544,474,1158,1957,8653,0,0,0,43.9
Nikoloz Tskitishvili,2002,5,172,16,190,626,0.303514,43,183,0.234972678,0.730434,147,443,0.331828442,1945,84,115,109,198,307,114,46,50,126,227,507,0,0,0,-1.6
Dajuan Wagner,2002,6,103,28,354,967,0.36608,92,287,0.320557491,0.769953,262,680,0.385294118,2202,164,213,29,113,142,195,69,14,136,212,964,0,0,0,0
Nene,2002,7,965,626,4175,7621,0.547828,7,53,0.132075472,0.660455,4168,7568,0.550739958,25234,2552,3864,1688,4140,5828,1719,1041,721,1688,2934,10909,0,0,0,73.3
Chris Wilcox,2002,8,628,261,2101,3884,0.540937,0,18,0,0.643147,2101,3866,0.543455768,12475,948,1474,970,2106,3076,455,322,246,705,1517,5150,0,0,0,26.9
Amar'e Stoudemire,2002,9,846,696,5911,11009,0.536924,30,127,0.236220472,0.760837,5881,10882,0.540433744,26252,4142,5444,2029,4603,6632,1050,636,1054,1953,2685,15994,6,5,0,92.5
Caron Butler,2002,10,881,732,4596,10592,0.433912,746,2144,0.347947761,0.847042,3850,8448,0.455729167,28330,2492,2942,1103,3284,4387,2007,1163,216,1594,2129,12430,2,0,1,50.9
Jared Jeffries,2002,11,629,335,1163,2728,0.426319,73,292,0.25,0.583011,1090,2436,0.447454844,13577,604,1036,1166,1397,2563,798,435,323,674,1529,3003,0,0,0,13.1
Melvin Ely,2002,12,375,55,783,1702,0.460047,0,3,0,0.624633,783,1699,0.460859329,6004,426,682,448,767,1215,261,99,209,392,765,1992,0,0,1,4
Marcus Haislip,2002,13,89,8,125,286,0.437062,7,20,0.35,0.658536,118,266,0.443609023,852,54,82,51,80,131,16,15,34,39,100,311,0,0,0,0.5
Fred Jones,2002,14,430,78,1090,2651,0.411165,346,979,0.353421859,0.808561,744,1672,0.444976077,10299,680,841,157,801,958,990,336,115,511,831,3206,0,0,0,16.5
LeBron James,2003,1,1438,1436,14312,28328,0.505224,2299,6660,0.345195195,0.73475,12013,21668,0.554412036,54663,8155,11099,1678,9117,10795,10531,2211,1086,5028,2624,39078,19,19,4,257.2
Darko Milicic,2003,2,468,208,1196,2602,0.459646,0,6,0,0.573569,1196,2596,0.460708783,8638,421,734,628,1343,1971,405,206,613,573,1065,2813,0,0,1,7.1
Carmelo Anthony,2003,3,1260,1120,10119,22643,0.446893,1731,4873,0.355222655,0.814013,8388,17770,0.472031514,43514,6320,7764,1983,5825,7808,3422,1223,644,3052,3543,28289,10,6,0,108.5
Chris Bosh,2003,4,893,881,6209,12581,0.493521,305,910,0.335164835,0.798783,5904,11671,0.505869249,31935,4466,5591,1927,5665,7592,1795,730,932,1807,2159,17189,11,1,2,106
Dwyane Wade,2003,5,1054,909,8454,17617,0.479877,549,1874,0.292956243,0.764839,7905,15743,0.50212793,35778,5708,7463,1258,3675,4933,5701,1620,885,3326,2328,23165,13,8,3,120.7
Chris Kaman,2003,6,735,538,3432,7023,0.48868,1,24,0.041666667,0.742809,3431,6999,0.490212888,19641,1343,1808,1487,4095,5582,921,322,931,1544,1968,8208,1,0,0,24.6
Kirk Hinrich,2003,7,879,665,3503,8522,0.411053,1172,3122,0.375400384,0.8,2331,5400,0.431666667,27018,1416,1770,310,2266,2576,4245,972,243,1617,2487,9594,0,0,0,52.5
T.J. Ford,2003,8,429,306,1829,4223,0.433104,127,439,0.28929385,0.814814,1702,3784,0.449788584,11885,1012,1242,296,1035,1331,2495,496,55,1047,972,4797,0,0,0,16.9
Michael Sweetney,2003,9,233,73,564,1164,0.484536,0,2,0,0.689165,564,1162,0.485370052,3611,388,563,400,645,1045,145,73,107,277,569,1516,0,0,0,7.8
Jarvis Hayes,2003,10,427,115,1397,3363,0.415402,392,1101,0.356039964,0.797826,1005,2262,0.444297082,9900,367,460,244,1086,1330,459,312,56,374,852,3553,0,0,0,10.2
Mickael Pietrus,2003,11,557,172,1625,3821,0.425281,679,1910,0.355497382,0.664767,946,1911,0.495028781,11947,700,1053,440,1283,1723,445,371,230,576,1270,4629,0,0,0,19.7
Nick Collison,2003,12,910,177,2212,4146,0.533526,21,101,0.207920792,0.722529,2191,4045,0.541656366,18600,914,1265,1766,2935,4701,939,446,469,878,2507,5359,0,0,0,44.5
Marcus Banks,2003,13,348,37,741,1715,0.432069,125,382,0.327225131,0.768189,616,1333,0.462115529,5566,454,591,100,419,519,728,266,57,436,674,2061,0,0,0,6.6
Luke Ridnour,2003,14,830,493,2933,6803,0.431133,584,1674,0.348864994,0.862299,2349,5129,0.457984012,21624,1290,1496,363,1514,1877,3713,814,161,1349,1779,7740,0,0,0,36
Dwight Howard,2004,1,1242,1078,7051,12016,0.5868,22,103,0.213592233,0.567001,7029,11913,0.590027701,39456,5361,9455,4151,10476,14627,1676,1081,2228,3302,3912,19485,8,8,1,141.7
Emeka Okafor,2004,2,616,603,3004,5867,0.512016,0,2,0,0.585806,3004,5865,0.512190963,19054,1362,2325,1954,4013,5967,520,414,1003,984,1696,7370,0,0,0,45.3
Ben Gordon,2004,3,744,269,3931,9092,0.432358,1171,2921,0.400890106,0.856725,2760,6171,0.447253281,20365,2051,2394,333,1518,1851,1868,508,114,1551,1720,11084,0,0,0,33.3
Shaun Livingston,2004,4,833,191,2149,4419,0.486309,13,73,0.178082192,0.793787,2136,4346,0.491486424,17188,920,1159,491,1498,1989,2483,586,311,1034,1498,5231,0,0,3,29.9
Devin Harris,2004,5,985,448,3486,8072,0.431863,832,2558,0.325254105,0.796407,2654,5514,0.481320276,23961,2793,3507,290,1861,2151,3869,998,194,1682,2171,10597,1,0,0,54.9
Josh Childress,2004,6,391,70,1343,2571,0.522364,99,301,0.328903654,0.778571,1244,2270,0.548017621,10433,763,980,732,1118,1850,609,339,184,439,725,3548,0,0,0,25.7
Luol Deng,2004,7,902,828,5130,11257,0.455716,658,1982,0.331987891,0.769448,4472,9275,0.482156334,30941,2443,3175,1462,4006,5468,2042,880,444,1459,1499,13361,2,0,0,74
Rafael Araujo,2004,8,139,75,156,385,0.405194,1,4,0.25,0.678571,155,381,0.406824147,1585,76,112,124,271,395,41,51,16,111,300,389,0,0,0,-0.4
Andre Iguodala,2004,9,1231,784,5028,10870,0.462557,1081,3278,0.329774253,0.708813,3947,7592,0.519889357,39506,2831,3994,1118,4929,6047,5147,1765,633,2240,2180,13968,1,0,4,100.4
Luke Jackson,2004,10,73,3,84,235,0.357446,32,89,0.359550562,0.732394,52,146,0.356164384,724,52,71,27,62,89,58,24,3,49,71,252,0,0,0,0.2
Andris Biedrins,2004,11,516,311,1432,2409,0.594437,0,2,0,0.5,1432,2407,0.59493145,11147,383,766,1190,2441,3631,467,331,580,479,1626,3247,0,0,0,30.7
Robert Swift,2004,12,97,34,172,340,0.505882,0,0,,0.610169,172,340,0.505882353,1498,72,118,122,254,376,20,26,86,71,224,416,0,0,0,1.7
