week,date,home,away,h_win,a_win,tie,dis_home,dis_away
1,9/8/2022,LAR,BUF,0,1,0,0,2533
1,9/11/2022,CAR,CLE,0,1,0,0,520
1,9/11/2022,CHI,SF,1,0,0,0,2146
1,9/11/2022,CIN,PIT,0,1,0,0,292
1,9/11/2022,HOU,IND,0,0,1,0,1033
1,9/11/2022,ATL,NO,0,1,0,0,473
1,9/11/2022,NYJ,BAL,0,1,0,0,192
1,9/11/2022,DET,PHI,0,1,0,0,592
1,9/11/2022,MIA,NE,1,0,0,0,1492
1,9/11/2022,WAS,JAX,1,0,0,0,720
1,9/11/2022,LAC,LV,1,0,0,0,278
1,9/11/2022,TEN,NYG,0,1,0,0,890
1,9/11/2022,MIN,GB,1,0,0,0,280
1,9/11/2022,ARI,KC,0,1,0,0,1360
1,9/11/2022,DAL,TBB,0,1,0,0,1161
1,9/12/2022,SEA,DEN,1,0,0,0,1329
2,9/15/2022,KC,LAC,1,0,0,0,1624
2,9/18/2022,NYG,CAR,1,0,0,0,631
2,9/18/2022,JAX,IND,1,0,0,0,879
2,9/18/2022,BAL,MIA,0,1,0,0,1109
2,9/18/2022,PIT,NE,0,1,0,0,572
2,9/18/2022,CLE,NYJ,0,1,0,0,466
2,9/18/2022,NO,TBB,0,1,0,0,668
2,9/18/2022,DET,WAS,1,0,0,0,526
2,9/18/2022,LAR,ATL,1,0,0,0,2174
2,9/18/2022,SF,SEA,1,0,0,0,816
2,9/18/2022,DAL,CIN,1,0,0,0,958
2,9/18/2022,LV,ARI,0,1,0,0,290
2,9/18/2022,DEN,HOU,1,0,0,0,1127
2,9/18/2022,GB,CHI,1,0,0,0,208
2,9/19/2022,BUF,TEN,1,0,0,0,706
2,9/19/2022,PHI,MIN,1,0,0,0,1181
3,9/22/2022,CLE,PIT,,,,0,136
3,9/25/2022,MIA,BUF,,,,0,1425
3,9/25/2022,NYJ,CIN,,,,0,636
3,9/25/2022,MIN,DET,,,,0,697
3,9/25/2022,CHI,HOU,,,,0,1108
3,9/25/2022,IND,KC,,,,0,485
3,9/25/2022,CAR,NO,,,,0,713
3,9/25/2022,WAS,PHI,,,,0,140
3,9/25/2022,TEN,LV,,,,0,1802
3,9/25/2022,NE,BAL,,,,0,392
3,9/25/2022,LAC,JAX,,,,0,2420
3,9/25/2022,SEA,ATL,,,,0,2705
3,9/25/2022,TBB,GB,,,,0,1384
3,9/25/2022,ARI,LAR,,,,0,373
3,9/25/2022,DEN,SF,,,,0,1271
3,9/26/2022,NYG,DAL,,,,0,1589
4,9/29/2022,CIN,MIA,,,,0,1141
4,10/2/2022,NO,MIN,,,,4627,4076
4,10/2/2022,BAL,BUF,,,,0,370
4,10/2/2022,NYG,CHI,,,,0,797
4,10/2/2022,ATL,CLE,,,,0,726
4,10/2/2022,PHI,JAX,,,,0,866
4,10/2/2022,PIT,NYJ,,,,0,367
4,10/2/2022,IND,TEN,,,,0,288
4,10/2/2022,HOU,LAC,,,,0,1550
4,10/2/2022,DET,SEA,,,,0,2350
4,10/2/2022,DAL,WAS,,,,0,1362
4,10/2/2022,CAR,ARI,,,,0,2107
4,10/2/2022,LV,DEN,,,,0,756
4,10/2/2022,GB,NE,,,,0,1192
