home_team,season,stadium,stadium_age,temp_stadium,home_conference,home_Level_Division,Capacity,Reigning_Conference_Champ,Recruiting_Strength,Home_Games,Ranked_Opp,Nationally_Televised_Home_Games,AVG_Attend,AVG_CapFill,ConfNetwork,Season_Win_Total,Power5_School
Air Force,2015,Falcon Stadium,54,0,Mountain West,1-A,46692,0,105.9825,6,0,1,26026.33333,0.557404552,0,8,0
Alabama,2015,Bryant-Denny Stadium,87,0,SEC,1-A,101821,1,315.8575,7,1,4,101112.2857,0.993039606,1,14,1
Arizona,2015,Arizona Stadium,88,0,Pac-12,1-A,56029,0,197.0075,6,2,3,51392.5,0.917248211,1,7,1
Arizona State,2015,Sun Devil Stadium,58,0,Pac-12,1-A,64248,0,213.5075,6,1,2,53747.5,0.836563006,1,6,1
Arkansas,2015,Razorback Stadium,78,0,SEC,1-A,72000,0,219.1825,5,0,3,71496.4,0.993005556,1,8,1
Arkansas State,2015,Centennial Bank Stadium,42,0,Sun Belt,1-A,30382,0,129.6825,6,1,1,23007.16667,0.757263072,0,9,0
Auburn,2015,Jordan-Hare Stadium,77,0,SEC,1-A,87451,0,271.175,7,1,4,87451,1,1,7,1
Baylor,2015,McLane Stadium,2,0,Big 12,1-A,45140,1,211.465,6,1,6,46160,1.022596367,0,10,1
Boston College,2015,Alumni Stadium (MA),59,0,ACC,1-A,44500,0,155.6975,7,1,1,30256.71429,0.679926164,0,3,1
Cincinnati,2015,Nippert Stadium,101,0,American,1-A,40000,0,167.8675,6,0,1,37096.33333,0.927408333,0,7,0
Clemson,2015,"Memorial Stadium (Clemson, SC)",74,0,ACC,1-A,81500,0,252.525,7,2,4,84038,1.031141104,0,14,1
Colorado State,2015,Hughes Stadium (CO),48,0,Mountain West,1-A,32500,0,107.9625,6,1,0,24916.66667,0.766666667,0,7,0
Connecticut,2015,Pratt & Whitney Stadium at Rentschler Field,13,0,American,1-A,40000,0,130.9425,6,1,0,28223.83333,0.705595833,0,6,0
Duke,2015,Wallace Wade Stadium,87,0,ACC,1-A,33941,0,164.025,5,2,1,24924.2,0.734339,0,8,1
East Carolina,2015,Dowdy-Ficklen Stadium,53,0,American,1-A,50000,0,135.86,6,1,2,43274.16667,0.865483333,0,5,0
Florida,2015,Ben Hill Griffin Stadium,86,0,SEC,1-A,88548,0,269.255,7,1,5,90065.28571,1.017135178,1,10,1
Florida Atlantic,2015,FAU Football Stadium,5,0,Conference USA,1-A,29419,0,125.7725,6,0,1,17617.16667,0.598836353,0,3,0
Florida State,2015,Doak Campbell Stadium,66,0,ACC,1-A,82300,1,281.6625,7,0,4,73219.14286,0.889661517,0,10,1
Georgia,2015,Sanford Stadium,87,0,SEC,1-A,92746,0,272.47,7,1,2,92746,1,1,10,1
Georgia Tech,2015,Bobby Dodd Stadium,103,0,ACC,1-A,55000,0,173.48,7,1,3,50706.57143,0.921937662,0,3,1
Illinois,2015,"Memorial Stadium (Champaign, IL)",93,0,Big 10,1-A,60670,0,168.3825,6,0,1,42647.16667,0.702936652,1,5,1
Indiana,2015,"Memorial Stadium (Bloomington, IN)",56,0,Big 10,1-A,52929,0,180.4175,7,2,3,44313.57143,0.837226689,1,6,1
Iowa,2015,Kinnick Stadium,87,0,Big 10,1-A,70585,0,178.7175,6,0,2,63220.83333,0.895669524,1,12,1
Iowa State,2015,MidAmerican Energy Field at Jack Trice Stadium,41,0,Big 12,1-A,61500,0,163.27,6,1,5,56518.83333,0.91900542,0,3,1
Kansas,2015,David Booth Kansas Memorial Stadium,95,0,Big 12,1-A,50071,0,159.8575,6,1,5,26804.66667,0.53533316,0,0,1
Kansas State,2015,Bill Snyder Family Stadium,48,0,Big 12,1-A,50000,0,162.9225,7,1,6,53099.71429,1.061994286,0,6,1
Kentucky,2015,Kroger Field,43,0,SEC,1-A,61000,0,200.4875,8,1,1,61295.125,1.004838115,1,5,1
Louisville,2015,Cardinal Stadium,18,0,ACC,1-A,55000,0,193.3575,6,1,1,49068.83333,0.892160606,0,8,1
LSU,2015,Tiger Stadium (LA),92,0,SEC,1-A,102321,0,279.315,7,2,4,93440.57143,0.913210108,1,9,1
Marshall,2015,Joan C. Edwards Stadium,25,0,Conference USA,1-A,38227,1,155.34,6,0,3,26321.66667,0.688562186,0,10,0
