home_team,season,stadium,stadium_age,temp_stadium,home_conference,home_Level_Division,Capacity,Reigning_Conference_Champ,Recruiting_Strength,Home_Games,Ranked_Opp,Nationally_Televised_Home_Games,AVG_Attend,AVG_CapFill,ConfNetwork,Season_Win_Total,Power5_School
Air Force,2011,Falcon Stadium,50,0,Mountain West,1-A,46692,0,55.905,7,1,2,35303.14286,0.756085472,0,7,0
Air Force,2012,Falcon Stadium,51,0,Mountain West,1-A,46692,0,80.26,6,0,2,32014.5,0.685652788,0,6,0
Air Force,2013,Falcon Stadium,52,0,Mountain West,1-A,46692,0,83.04,7,0,0,32651.71429,0.699299972,0,2,0
Air Force,2014,Falcon Stadium,53,0,Mountain West,1-A,46692,0,100.9425,6,1,0,28161.16667,0.60312616,0,10,0
Air Force,2015,Falcon Stadium,54,0,Mountain West,1-A,46692,0,105.9825,6,0,1,26026.33333,0.557404552,0,8,0
Air Force,2016,Falcon Stadium,55,0,Mountain West,1-A,46692,0,103.36,6,1,0,29586.5,0.633652446,0,10,0
Air Force,2017,Falcon Stadium,56,0,Mountain West,1-A,46692,0,105.645,6,1,1,29154,0.624389617,0,5,0
Air Force,2018,Falcon Stadium,57,0,Mountain West,1-A,46692,0,110.1,6,0,0,27700.83333,0.593267226,0,5,0
Air Force,2019,Falcon Stadium,58,0,Mountain West,1-A,46692,0,118.685,6,0,1,27084.16667,0.58006011,0,11,0
Alabama,2011,Bryant-Denny Stadium,83,0,SEC,1-A,101821,0,290.735,7,1,3,101821,1,0,12,1
Alabama,2012,Bryant-Denny Stadium,84,0,SEC,1-A,101821,0,296.1125,7,2,4,101721.7143,0.999024899,0,13,1
Alabama,2013,Bryant-Denny Stadium,85,0,SEC,1-A,101821,1,303.83,7,2,5,101505.4286,0.996900724,0,11,1
Alabama,2014,Bryant-Denny Stadium,86,0,SEC,1-A,101821,0,312.7075,7,2,5,101533.7143,0.997178522,1,12,1
Alabama,2015,Bryant-Denny Stadium,87,0,SEC,1-A,101821,1,315.8575,7,1,4,101112.2857,0.993039606,1,14,1
Alabama,2016,Bryant-Denny Stadium,88,0,SEC,1-A,101821,1,313.0875,7,2,6,101821,1,1,14,1
