TEAM,SEASON,WIN%,FG.Per,3P.Per,DREB,TRB,STL,TOV,Team_FG.Per,Team_3P.Per,Team_DREB,Team_TRB,Team_STL,Team_TOV
MINNESOTA LYNX,2011,0.794,4.8,1.4,3.3,6.4,1.3,-2,46.1,36.8,25.6,36.5,7.3,12.9
CONNECTICUT SUN,2011,0.618,-0.5,1.6,-0.7,-0.9,-0.4,-2.4,42.4,36.3,25.6,35.6,7.3,13.1
INDIANA FEVER,2011,0.618,1.9,4.4,0.1,-1.8,0.9,-1.1,44.3,37.9,22.9,31.6,8.8,14.8
SEATTLE STORM,2011,0.618,2,-0.3,2.5,1.8,-0.5,1.9,43.8,35.6,23.7,31.6,7.4,16.1
ATLANTA DREAM,2011,0.588,1.5,-9.9,0.3,1.5,1.4,-2.4,44.6,26.1,24.6,36.1,9.3,15
NEW YORK LIBERTY,2011,0.559,0.4,3.8,-1,0.4,1.6,-2.1,43.3,35.8,22.3,32.8,8.4,14.8
PHOENIX MERCURY,2011,0.559,2.1,0.7,1.9,0.9,-1.5,1.8,46.1,37.3,26,35.1,6.6,15.4
SAN ANTONIO SILVER STARS,2011,0.529,0.3,0.6,-3.6,-5.7,1,-3.3,43,35.6,24.2,31.3,8.4,12.8
LOS ANGELES SPARKS,2011,0.441,-0.2,5.9,-0.7,-3.1,-0.4,1.6,44.5,39.6,23.1,31.7,7.3,15.2
CHICAGO SKY,2011,0.412,2,2.7,1.8,1.2,-1.3,2.9,43.8,36.4,24.6,33.8,7.9,17.6
WASHINGTON MYSTICS,2011,0.176,-5.9,-5.7,-1.3,1.3,-1.1,2.4,40.6,32.9,21.6,33.1,8.3,16.9
TULSA SHOCK,2011,0.088,-8.8,-11.2,-2.6,-1.9,-1.2,2.8,39.6,28.4,21.8,30.7,7.4,17.1
MINNESOTA LYNX,2012,0.794,6.6,7.3,5.6,6.8,-0.3,0.7,47.3,40,26.6,37.8,7.6,15.2
CONNECTICUT SUN,2012,0.735,0.1,1.4,-1,-0.9,-0.3,-1.5,43.1,35.6,24.1,34.4,8,14.5
LOS ANGELES SPARKS,2012,0.706,4.2,3.7,3.3,3.3,0,0.4,45.8,35.9,25.6,36.9,8.9,16.2
INDIANA FEVER,2012,0.647,-1.1,6.9,-1.6,-2.2,2.4,-3.8,41.8,40,22.3,32.2,9.5,13.6
SAN ANTONIO SILVER STARS,2012,0.618,1.3,-0.9,-1.3,-1.7,1.8,-2.5,44.5,37.5,23.6,33.2,8.9,13.1
ATLANTA DREAM,2012,0.559,1.9,-6.3,0.2,0.3,0.6,-1.2,43.4,29.6,24.6,34.8,9.8,16.4
SEATTLE STORM,2012,0.471,4.3,0.9,2,-1.8,-3,3.4,43.4,35.1,25.1,31.9,6,17
NEW YORK LIBERTY,2012,0.441,-0.4,1.6,-0.2,-1,-1.3,1.9,42.5,35.5,23.4,33.4,7.4,16.3
CHICAGO SKY,2012,0.412,0.2,-1.4,2.3,4.8,-0.2,2,43.1,34,24.2,34.9,8.7,17.8
TULSA SHOCK,2012,0.265,-7.2,0.2,-7.3,-7.6,1.9,-3.7,40.5,38,19.7,29.5,9.7,14.7
PHOENIX MERCURY,2012,0.206,-5.3,-9.2,-0.3,1.3,-1.6,3.1,38.4,29.5,25.1,37.4,7.1,16.5
