Teams,ARI,ATL,BAL,BUF,CAR,CHI,CIN,CLE,DAL,DEN,DET,GB,HOU,IND,JAX,KC,MIA,MIN,NE,TEN,NO,NYG,NYJ,LV,PHI,PIT,LAR,LAC,SF,SEA,TBB,WAS
ARI,NA,1868,2366,2274,2107,1819,1876,2085,1077,904,2074,2017,1188,1764,2072,1360,2390,1805,2700,1687,1548,2481,2481,290,2420,2136,373,373,750,1513,2184,2362
ATL,1868,NA,679,910,238,717,476,726,792,1403,735,927,800,531,344,801,661,1129,1074,248,473,869,869,19633,782,676,2174,2174,2618,2705,455,636
BAL,2366,679,NA,370,441,708,521,377,1399,1690,532,918,1470,600,763,1087,1109,1121,392,707,1142,192,192,2437,104,246,2659,2659,2840,2775,960,38
BUF,2274,910,370,NA,695,545,442,197,1393,1546,277,753,1513,508,1080,995,1425,958,455,706,1254,400,400,2275,414,217,2533,2533,2677,2612,1276,384
CAR,2107,238,441,695,NA,761,476,520,1031,1559,675,994,1041,575,385,956,730,1173,835,426,713,631,631,2217,543,438,2419,2419,2759,2827,581,397
CHI,1819,717,708,545,761,NA,302,346,936,1015,283,208,1108,184,1065,532,1382,409,985,472,935,797,797,1753,768,467,2016,2016,2146,2062,1176,701
CIN,1876,476,521,442,476,302,NA,253,958,1200,261,506,1079,116,803,597,1141,714,841,274,820,636,636,1949,576,292,2172,2172,2407,2368,935,517
CLE,2085,726,377,197,520,346,253,NA,1208,1347,171,553,1328,319,904,806,1254,760,639,521,1070,466,466,2085,437,136,2349,2349,2478,2413,1101,370
DAL,1077,792,1399,1393,1031,936,958,1208,NA,887,1218,1149,241,913,1049,554,1367,999,1755,667,525,1589,1589,1234,1501,1246,1439,1439,1827,2208,1161,1362
DEN,904,1403,1690,1546,1559,1015,1200,1347,887,NA,1284,1105,1127,1088,1751,603,2069,924,1987,1162,1409,1799,1799,756,1744,1460,1019,1019,1271,1329,1862,1686
DET,2074,735,532,277,675,283,261,171,1218,1284,NA,490,1338,318,1060,795,1401,697,707,535,1079,622,622,2013,592,292,2277,2277,2415,2350,1194,526
GB,2017,927,918,753,994,208,506,553,1149,1105,490,NA,1390,393,1273,626,1594,280,1192,680,1135,998,998,1862,968,669,2125,2125,2236,1939,1384,906
HOU,1188,800,1470,1513,1041,1108,1079,1328,241,1127,1338,1390,NA,1033,884,795,1201,1240,1835,859,360,1660,1660,1471,1572,1366,1550,1550,1938,2444,945,1433
IND,1764,531,600,508,575,184,116,319,913,1088,318,393,1033,NA,879,485,1196,596,950,288,826,715,715,1850,655,370,2073,2073,2290,2249,990,596
JAX,2072,344,763,1080,385,1065,803,904,1049,1751,1060,1273,884,879,NA,1148,345,1477,1142,594,556,953,953,2260,866,822,2420,2420,2822,3052,196,720
KC,1360,801,1087,995,956,532,597,806,554,603,795,626,795,485,1148,NA,1466,441,1434,558,932,1202,1202,1360,1141,857,1624,1624,1814,1872,1259,1083
MIA,2390,661,1109,1425,730,1382,1141,1250,1367,2069,1401,1594,1201,1196,345,1466,NA,1794,1492,915,874,1299,1299,2575,1211,1167,2735,2735,3140,3370,274,1065
MIN,1805,1129,1121,958,1173,409,714,760,999,924,697,280,1240,596,1477,441,1794,NA,1392,870,1337,1211,1211,1665,1181,881,1928,1928,2055,1654,1588,1115
NE,2700,1074,392,455,835,985,841,639,1755,1987,707,1192,1835,950,1142,1434,1492,1392,NA,1090,1510,204,204,2722,295,572,3006,3006,3117,3051,1367,432
TEN,1687,248,707,706,426,472,274,521,667,1162,535,680,859,288,594,558,915,870,1090,NA,534,890,890,1802,809,560,2007,2007,2311,2405,705,676
NO,1548,473,1142,1254,713,935,820,1070,525,1409,1079,1135,360,826,556,932,874,1337,1510,534,NA,1332,1332,1747,1245,1108,1906,1906,2298,2731,668,1106
NYG,2481,869,192,400,631,797,636,466,1589,1799,622,998,1660,715,953,1202,1299,1211,204,890,1332,NA,0,2539,91,367,2807,2807,2929,2864,1150,228
NYJ,2481,869,192,400,631,797,636,466,1589,1799,622,998,1660,715,953,1202,1299,1211,204,890,1332,0,NA,2539,91,367,2807,2807,2929,2864,1150,228
LV,290,19633,2437,2275,2217,1753,1949,2085,1234,756,2013,1862,1471,1850,2260,1360,2575,1665,2722,1802,1747,2539,2539,NA,2497,2210,278,278,571,1266,2372,2442
PHI,2420,782,104,414,543,768,576,437,1501,1744,592,968,1572,655,866,1141,1211,1181,295,809,1245,91,91,2497,NA,306,2713,2713,2900,2835,1062,140
PIT,2136,676,246,217,438,467,292,136,1246,1460,292,669,1366,370,822,857,1167,881,572,560,1108,367,367,2210,306,NA,2433,2433,2599,2534,1019,240
LAR,373,2174,2659,2533,2419,2016,2172,2349,1439,1019,2277,2125,1550,2073,2420,1624,2735,1928,3006,2007,1906,2807,2807,278,2713,2433,NA,0,381,1136,2532,2665
LAC,373,2174,2659,2533,2419,2016,2172,2349,1439,1019,2277,2125,1550,2073,2420,1624,2735,1928,3006,2007,1906,2807,2807,278,2713,2433,0,NA,381,1136,2532,2665
SF,750,2618,2840,2677,2759,2146,2407,2478,1827,1271,2415,2236,1938,2290,2822,1814,3140,2055,3117,2311,2298,2929,2929,571,2900,2599,381,381,NA,816,2933,2834
SEA,1513,2705,2775,2612,2827,2062,2368,2413,2208,1329,2350,1939,2449,2249,3052,1872,3370,1654,3051,2405,2731,2864,2864,1266,2835,2534,1136,1136,816,NA,3164,2769
TBB,2184,455,960,1276,581,1176,935,1101,1161,1862,1194,1384,995,990,196,1259,274,1588,1367,705,668,1150,1150,2372,1062,1019,2532,2532,2933,3164,NA,916
WAS,2362,636,38,384,397,701,517,370,1362,1686,526,906,1433,596,720,1083,1065,1115,432,676,1106,228,228,2442,140,240,2665,2665,2834,2769,916,NA
