"","ARIW","ATLW","BALW","BUFW","CARW","CHIW","CINW","CLEW","DALW","DENW","DETW","GBW","HOUW","INDW","JAXW","KCW","LACW","LARW","LVW","MIAW","MINW","NEW","NOW","NYGW","NYJW","PHIW","PITW","SEAW","SFW","TBBW","TENW","WASW","ARIL","ATLL","BALL","BUFL","CARL","CHIL","CINL","CLEL","DALL","DENL","DETL","GBL","HOUL","INDL","JAXL","KCL","LACL","LARL","LVL","MIAL","MINL","NEL","NOL","NYGL","NYJL","PHIL","PITL","SEAL","SFL","TBBL","TENL","WASL","ARIT","ATLT","BALT","BUFT","CART","CHIT","CINT","CLET","DALT","DENT","DETT","GBT","HOUT","INDT","JAXT","KCT","LACT","LART","LVT","MIAT","MINT","NET","NOT","NYGT","NYJT","PHIT","PITT","SEAT","SFT","TBBT","TENT","WAST","NFC1","NFC2","NFC3","NFC4","NFC5","NFC6","NFC7","AFC1","AFC2","AFC3","AFC4","AFC5","AFC6","AFC7","NFCWC1","NFCWC2","NFCWC3","AFCWC1","AFCWC2","AFCWC3","NFCD1","NFCD2","AFCD1","AFCD2","NFCC","AFCC","SB"
"1",9,5,7,15,5,9,5,11,11,8,4,8,3,9,8,14,12,7,8,11,13,9,7,8,3,9,10,7,9,12,7,8,8,12,10,2,12,8,12,6,6,9,13,9,13,7,9,3,5,10,9,6,4,8,10,9,14,8,7,10,8,5,10,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MIN","TBB","DAL","SF","PHI","ARI","CHI","BUF","KC","CLE","IND","LAC","MIA","PIT","TBB","ARI","PHI","KC","CLE","IND","MIN","TBB","BUF","KC","TBB","BUF","TBB"
"2",6,5,12,11,3,8,6,9,13,10,6,9,2,8,7,9,10,10,8,10,11,7,7,8,5,9,11,10,12,12,10,7,11,12,5,6,14,9,11,8,4,7,11,8,14,8,10,8,7,7,9,7,6,10,10,9,12,8,6,7,5,5,7,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DAL","SF","TBB","MIN","LAR","SEA","GB","BAL","BUF","LAC","TEN","PIT","MIA","DEN","SF","TBB","LAR","DEN","MIA","TEN","LAR","SF","DEN","TEN","LAR","DEN","DEN"
"3",7,7,9,14,7,7,9,8,11,8,9,8,6,8,4,11,10,11,7,9,6,9,9,10,5,13,7,7,10,12,6,7,10,10,8,3,10,10,8,9,6,9,8,9,10,8,13,6,7,6,10,8,11,8,8,7,12,4,10,10,7,5,11,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PHI","TBB","LAR","DET","DAL","NYG","SF","BUF","KC","BAL","IND","LAC","NE","CIN","SF","LAR","DET","KC","NE","IND","SF","LAR","BUF","KC","LAR","BUF","BUF"
"4",8,8,10,14,5,6,4,9,7,11,8,11,5,8,3,13,9,7,5,14,10,9,10,8,6,12,7,4,8,13,9,10,9,9,7,3,12,11,13,8,10,6,9,6,11,8,14,4,8,10,12,3,7,8,7,9,11,5,10,13,9,4,8,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TBB","PHI","GB","ARI","WAS","MIN","NO","BUF","KC","BAL","TEN","MIA","DEN","CLE","PHI","MIN","ARI","KC","BAL","TEN","TBB","PHI","BUF","KC","TBB","BUF","BUF"
"5",11,6,6,16,5,8,8,10,10,10,8,7,3,4,5,12,10,12,8,9,9,10,10,12,5,13,5,7,8,8,6,10,6,11,11,1,12,9,9,7,7,7,9,10,13,12,12,5,7,5,9,8,8,7,7,5,12,4,12,10,9,9,11,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PHI","LAR","NO","MIN","NYG","ARI","WAS","BUF","KC","CLE","TEN","NE","LAC","DEN","LAR","NO","MIN","KC","LAC","NE","PHI","NO","BUF","KC","PHI","BUF","BUF"
"6",7,2,12,15,7,6,6,5,14,9,10,9,8,8,5,12,13,9,7,10,9,8,7,6,4,12,8,7,7,14,8,7,10,15,5,2,10,11,11,12,3,8,7,8,8,8,12,5,4,8,10,7,8,9,10,11,13,5,9,10,10,3,9,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TBB","DAL","DET","LAR","PHI","MIN","GB","BUF","LAC","BAL","IND","KC","MIA","DEN","DAL","MIN","LAR","LAC","BAL","KC","MIN","DAL","BUF","BAL","DAL","BUF","BUF"
"7",9,3,7,13,5,5,4,11,9,7,8,11,3,7,6,12,9,11,8,11,8,11,9,9,5,10,8,6,11,14,11,10,8,14,10,4,12,12,13,6,8,10,9,6,13,9,11,5,8,6,9,6,9,6,8,8,12,7,9,11,6,3,6,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TBB","SF","GB","WAS","LAR","PHI","NO","BUF","KC","TEN","CLE","MIA","NE","LAC","SF","GB","LAR","KC","NE","CLE","TBB","SF","NE","KC","SF","KC","KC"
"8",6,4,10,14,5,6,3,9,10,11,9,11,2,9,8,11,12,8,9,11,9,11,7,9,4,13,8,8,8,14,5,7,11,13,7,3,12,11,14,8,7,6,8,6,14,7,9,6,5,9,8,6,8,6,10,8,13,4,9,9,9,3,12,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TBB","PHI","GB","LAR","DAL","DET","MIN","BUF","LAC","BAL","IND","MIA","KC","DEN","PHI","GB","LAR","LAC","BAL","MIA","TBB","PHI","MIA","BAL","PHI","MIA","MIA"
"9",9,8,8,12,5,7,8,6,8,8,7,5,5,6,8,10,11,14,4,15,8,10,7,10,4,12,9,8,9,11,10,9,8,9,9,5,12,10,9,11,9,9,10,12,11,10,9,7,6,3,13,2,9,7,10,7,13,5,8,9,8,6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LAR","PHI","TBB","MIN","NYG","SF","ARI","MIA","LAC","TEN","PIT","BUF","NE","KC","PHI","TBB","MIN","KC","TEN","BUF","LAR","PHI","MIA","BUF","LAR","MIA","MIA"
"10",6,3,7,15,8,4,10,8,11,12,4,10,7,6,7,13,9,8,7,11,10,10,10,9,4,11,8,7,10,15,4,7,11,14,10,2,9,13,7,9,6,5,13,7,9,10,10,4,8,9,10,6,7,7,7,8,13,6,9,10,7,2,13,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"TBB","PHI","SF","MIN","DAL","GB","NO","BUF","KC","CIN","HOU","DEN","MIA","NE","NO","GB","DAL","KC","MIA","HOU","TBB","GB","BUF","KC","GB","BUF","GB"
