Player,Year,Date,Home.Away,Opp,Opp Division,Rslt,Days.Rested,IP,ER,SO,BF,Pit,Str,aLI,RE24,Team.W.L,Num.W.L
Shane Bieber,2022,Apr 7,Away,KCR,AL Central,L1-3,99,4.2,0,4,18,72,48,0.96,1.13,L,0
Shane Bieber,2022,Apr 12,Away,CIN,NL Central,W10-5,4,5.1,3,5,19,79,46,0.78,0.53,W,1
Shane Bieber,2022,Apr 20(1),Home,CHW,AL Central,W11-1,7,6,1,7,21,86,60,0.21,1.79,W,1
Shane Bieber,2022,Apr 25,Away,LAA,AL West,L0-3,4,6.1,3,6,28,100,62,1.04,0.14,L,0
Shane Bieber,2022,Apr 30,Away,OAK,AL West,W3-1,4,7,1,7,28,105,70,1.36,2.16,W,1
Shane Bieber,2022,May 7(1),Home,TOR,AL East,L3-8,6,3.1,7,0,21,71,38,0.76,-6.01,L,0
Shane Bieber,2022,May 14,Away,MIN,AL Central,W3-2,6,6,1,7,28,109,65,1.33,1.79,W,1
Shane Bieber,2022,May 22,Home,DET,AL Central,L2-4,7,7,2,10,28,106,71,1.13,0.26,L,0
Shane Bieber,2022,May 28,Away,DET,AL Central,W8-1,5,8,1,5,30,94,67,0.98,2.69,W,1
Shane Bieber,2022,Jun 3,Away,BAL,AL East,W6-3,5,7,2,11,26,98,69,0.5,2.41,W,1
Shane Bieber,2022,Jun 8,Home,TEX,AL West,W4-0,4,4.1,0,6,15,54,38,0.67,1.45,W,1
Shane Bieber,2022,Jun 14,Away,COL,NL West,W4-3,5,6.2,3,7,29,105,75,1.19,0.68,W,1
Shane Bieber,2022,Jun 19,Away,LAD,NL West,W5-3,4,6.1,2,9,26,98,66,1.08,1.14,W,1
Shane Bieber,2022,Jun 25,Home,BOS,AL East,L2-4,5,7,3,4,27,96,62,0.99,0.26,L,0
Shane Bieber,2022,Jun 30,Home,MIN,AL Central,W5-3,4,6,3,5,24,99,69,0.93,-0.21,W,1
