Team,Season,Revenue,Division (Currnet)
Arizona Cardinals,2001,110,NFC West
Arizona Cardinals,2002,126,NFC West
Arizona Cardinals,2003,131,NFC West
Arizona Cardinals,2004,153,NFC West
Arizona Cardinals,2005,158,NFC West
Arizona Cardinals,2006,189,NFC West
Arizona Cardinals,2007,203,NFC West
Arizona Cardinals,2008,223,NFC West
Arizona Cardinals,2009,236,NFC West
Arizona Cardinals,2010,240,NFC West
Arizona Cardinals,2011,246,NFC West
Arizona Cardinals,2012,253,NFC West
Arizona Cardinals,2013,266,NFC West
Arizona Cardinals,2014,308,NFC West
Arizona Cardinals,2015,348,NFC West
Arizona Cardinals,2016,370,NFC West
Atlanta Falcons,2016,367,NFC South
Atlanta Falcons,2015,336,NFC South
Atlanta Falcons,2014,303,NFC South
Atlanta Falcons,2013,264,NFC South
Atlanta Falcons,2012,252,NFC South
Atlanta Falcons,2011,239,NFC South
Atlanta Falcons,2010,233,NFC South
Atlanta Falcons,2009,231,NFC South
Atlanta Falcons,2008,214,NFC South
Atlanta Falcons,2007,203,NFC South
Atlanta Falcons,2006,185,NFC South
Atlanta Falcons,2005,170,NFC South
Atlanta Falcons,2004,168,NFC South
Atlanta Falcons,2003,144,NFC South
Atlanta Falcons,2002,133,NFC South
Atlanta Falcons,2001,120,NFC South
Baltimore Ravens ,2016,403,AFC North
Baltimore Ravens ,2015,378,AFC North
Baltimore Ravens ,2014,345,AFC North
Baltimore Ravens ,2013,304,AFC North
Baltimore Ravens ,2012,292,AFC North
Baltimore Ravens ,2011,279,AFC North
Baltimore Ravens ,2010,262,AFC North
Baltimore Ravens ,2009,255,AFC North
Baltimore Ravens ,2008,249,AFC North
Baltimore Ravens ,2007,226,AFC North
Baltimore Ravens ,2006,205,AFC North
Baltimore Ravens ,2005,201,AFC North
Baltimore Ravens ,2004,192,AFC North
Baltimore Ravens ,2003,172,AFC North
Baltimore Ravens ,2002,155,AFC North
Baltimore Ravens ,2001,148,AFC North
Buffalo Bills,2016,352,AFC East
Buffalo Bills,2015,326,AFC East
Buffalo Bills,2014,296,AFC East
Buffalo Bills,2013,252,AFC East
Buffalo Bills,2012,256,AFC East
Buffalo Bills,2011,240,AFC East
Buffalo Bills,2010,236,AFC East
Buffalo Bills,2009,228,AFC East
Buffalo Bills,2008,222,AFC East
Buffalo Bills,2007,206,AFC East
Buffalo Bills,2006,189,AFC East
Buffalo Bills,2005,176,AFC East
Buffalo Bills,2004,173,AFC East
Buffalo Bills,2003,152,AFC East
Buffalo Bills,2002,141,AFC East
Buffalo Bills,2001,131,AFC East
Carolina Panthers,2016,385,NFC South
Carolina Panthers,2015,362,NFC South
Carolina Panthers,2014,325,NFC South
Carolina Panthers,2013,283,NFC South
Carolina Panthers,2012,271,NFC South
Carolina Panthers,2011,269,NFC South
Carolina Panthers,2010,257,NFC South
Carolina Panthers,2009,247,NFC South
Carolina Panthers,2008,238,NFC South
Carolina Panthers,2007,221,NFC South
Carolina Panthers,2006,203,NFC South
Carolina Panthers,2005,199,NFC South
Carolina Panthers,2004,295,NFC South
Carolina Panthers,2003,169,NFC South
Carolina Panthers,2002,161,NFC South
Carolina Panthers,2001,152,NFC South
Chicago Bears,2001,124,NFC North
Chicago Bears,2002,132,NFC North
Chicago Bears,2003,175,NFC North
Chicago Bears,2004,193,NFC North
Chicago Bears,2005,201,NFC North
Chicago Bears,2006,209,NFC North
Chicago Bears,2007,226,NFC North
Chicago Bears,2008,241,NFC North
Chicago Bears,2009,254,NFC North
Chicago Bears,2010,266,NFC North
Chicago Bears,2011,286,NFC North
Chicago Bears,2012,298,NFC North
Chicago Bears,2013,309,NFC North
Chicago Bears,2014,352,NFC North
Chicago Bears,2015,385,NFC North
Chicago Bears,2016,416,NFC North
Cincinnati Bengals,2001,130,AFC North
Cincinnati Bengals,2002,141,AFC North
Cincinnati Bengals,2003,150,AFC North
Cincinnati Bengals,2004,171,AFC North
Cincinnati Bengals,2005,175,AFC North
Cincinnati Bengals,2006,194,AFC North
Cincinnati Bengals,2007,205,AFC North
Cincinnati Bengals,2008,222,AFC North
Cincinnati Bengals,2009,232,AFC North
Cincinnati Bengals,2010,236,AFC North
Cincinnati Bengals,2011,235,AFC North
Cincinnati Bengals,2012,250,AFC North
Cincinnati Bengals,2013,258,AFC North
Cincinnati Bengals,2014,296,AFC North
Cincinnati Bengals,2015,329,AFC North
Cincinnati Bengals,2016,355,AFC North
Cleveland Browns,2001,158,AFC North
Cleveland Browns,2002,174,AFC North
Cleveland Browns,2003,183,AFC North
Cleveland Browns,2004,203,AFC North
Cleveland Browns,2005,206,AFC North
Cleveland Browns,2006,206,AFC North
Cleveland Browns,2007,220,AFC North
Cleveland Browns,2008,235,AFC North
Cleveland Browns,2009,242,AFC North
Cleveland Browns,2010,247,AFC North
Cleveland Browns,2011,258,AFC North
Cleveland Browns,2012,264,AFC North
Cleveland Browns,2013,276,AFC North
Cleveland Browns,2014,313,AFC North
Cleveland Browns,2015,347,AFC North
Cleveland Browns,2016,365,AFC North
Dallas Cowboys,2001,189,NFC East
Dallas Cowboys,2002,198,NFC East
Dallas Cowboys,2003,205,NFC East
Dallas Cowboys,2004,231,NFC East
Dallas Cowboys,2005,235,NFC East
Dallas Cowboys,2006,242,NFC East
Dallas Cowboys,2007,269,NFC East
Dallas Cowboys,2008,280,NFC East
Dallas Cowboys,2009,420,NFC East
Dallas Cowboys,2010,406,NFC East
Dallas Cowboys,2011,500,NFC East
Dallas Cowboys,2012,539,NFC East
Dallas Cowboys,2013,560,NFC East
Dallas Cowboys,2014,620,NFC East
Dallas Cowboys,2015,700,NFC East
Dallas Cowboys,2016,840,NFC East
Denver Broncos,2001,159,AFC West
Denver Broncos,2002,171,AFC West
Denver Broncos,2003,183,AFC West
Denver Broncos,2004,202,AFC West
Denver Broncos,2005,207,AFC West
Denver Broncos,2006,212,AFC West
Denver Broncos,2007,226,AFC West
Denver Broncos,2008,240,AFC West
Denver Broncos,2009,250,AFC West
Denver Broncos,2010,255,AFC West
Denver Broncos,2011,276,AFC West
Denver Broncos,2012,283,AFC West
